Annotation_Accession,host,isolation_source,Manual_Annotation
GCF_013348865.1_ASM1334886v1,NA,NA,NA
GCF_009363735.1_ASM936373v1,NA,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C,Human-impacted
GCF_013167255.1_ASM1316725v1,Homo sapiens,NA,Humans
GCF_002290105.1_ASM229010v1,NA,marine sediments in Liaodong Bay,Sediment
GCF_003431385.1_ASM343138v1,Homo sapiens,bronchoalveolar lavage fluid,Humans
GCF_001435845.1_ASM143584v1,Botryllus sp.,NA,Animals
GCF_002803655.2_ASM280365v2,Homo sapiens,wound swab,Humans
GCF_002847445.1_ASM284744v1,NA,sludge,Human-impacted
GCF_000226975.3_ASM22697v3,NA,Ayakekumsalt Lake,Freshwater
GCF_001046095.2_ASM104609v2,Homo sapiens,NA,Humans
GCF_001908415.1_ASM190841v1,NA,environment,NA
GCF_004848545.1_ASM484854v1,Homo sapiens,NA,Humans
GCF_005221405.1_ASM522140v1,NA,NA,NA
GCF_002216855.1_ASM221685v1,NA,Surface seawater of South China Sea,Marine
GCF_000019305.1_ASM1930v1,NA,NA,NA
GCF_002163775.1_ASM216377v1,soybean (Glycine max),naturally-infected soybean leaf tissue,Agriculture
GCF_003719775.1_ASM371977v1,NA,NA,NA
GCF_000772715.2_ASM77271v2,Sorghum bicolor,NA,Agriculture
GCF_003590585.1_ASM359058v1,Musa sp.,plants with Moko disease,Agriculture
GCF_000367665.2_ASM36766v2,NA,NA,NA
GCF_007873865.1_ASM787386v1,Homo sapiens,NA,Humans
GCF_001028645.1_ASM102864v1,NA,NA,NA
GCF_003411785.2_ASM341178v2,Homo sapiens,blood,Humans
GCF_003408595.1_ASM340859v1,Homo sapiens,Rectal swab,Humans
GCF_003812305.1_ASM381230v1,Homo sapiens,NA,Humans
GCF_004010775.1_ASM401077v1,NA,sediment,Sediment
GCF_011305995.1_ASM1130599v1,Hydrophilus acuminatus,NA,Animals
GCF_002811325.2_ASM281132v2,Homo sapiens,NA,Humans
GCF_010669065.1_ASM1066906v1,NA,NA,NA
GCF_006965505.1_ASM696550v1,Homo sapiens,NA,Humans
GCF_002759415.1_ASM275941v1,Phaseolus sp.,NA,Agriculture
GCF_001953675.1_ASM195367v1,Homo sapiens,stool,Humans
GCF_006228465.1_ASM622846v1,Punica granatum,leaf,Agriculture
GCF_002952035.2_ASM295203v2,Allium cepa,Toombs County,Agriculture
GCF_000181855.2_ASM18185v2,NA,NA,NA
GCF_007954665.1_ASM795466v1,NA,kimchi,Food
GCF_003515405.1_ASM351540v1,Solanum tuberosum,Potato bacterial wilt,Agriculture
GCF_003568535.1_Cucumis_polished_assembly.fasta,Cucumis sativus,NA,Agriculture
GCF_003790525.1_ASM379052v1,NA,chicken,Livestock
GCF_000258885.1_ASM25888v1,Homo sapiens,cutaneous anthrax patient,Humans
GCF_001902535.1_ASM190253v1,Homo sapiens,Urine/Genitourinary,Humans
GCF_002950495.2_ASM295049v2,Homo sapiens,NA,Humans
GCF_003073695.1_ASM307369v1,NA,NA,NA
GCF_000195575.1_ASM19557v1,NA,seawater,Marine
GCF_008274865.1_ASM827486v1,NA,soil,Soil
GCF_009911815.1_ASM991181v1,Homo sapiens,NA,Humans
GCF_002250925.2_ASM225092v2,NA,Mashed potatoes,Food
GCF_000834235.1_ASM83423v1,NA,NA,NA
GCF_003193885.1_ASM319388v1,NA,NA,NA
GCF_004119535.1_ASM411953v1,NA,food,Food
GCF_003991175.1_ASM399117v1,NA,soil,Soil
GCF_000025545.1_ASM2554v1,NA,NA,NA
GCF_000817975.1_ASM81797v1,NA,soil,Soil
GCF_001674505.2_ASM167450v2,Homo sapiens,NA,Humans
GCF_003991015.1_ASM399101v1,Homo sapiens,anterior nares,Humans
GCF_001664305.1_ASM166430v1,Phaseolus vulgaris,legume-root nodule,Agriculture
GCF_900698945.1_BuCilaricifoliae_v1.0,NA,host's whole body,NA
GCF_001687645.1_ASM168764v1,NA,Soil,Soil
GCF_002967795.2_ASM296779v2,Homo sapiens,blood,Humans
GCF_001535545.1_ASM153554v1,NA,water,Freshwater
GCF_013109225.1_ASM1310922v1,Homo sapiens,tissue,Humans
GCF_011044475.1_ASM1104447v1,Dracaena sanderiana,leaf,Plants
GCF_002251005.2_ASM225100v2,NA,Mashed potatoes,Food
GCF_004798785.1_ASM479878v1,NA,fish meal,Food
GCF_003113495.1_ASM311349v1,Homo sapiens,NA,Humans
GCF_000255915.1_ASM25591v1,NA,NA,NA
GCF_009739715.1_ASM973971v1,Homo sapiens,blood,Humans
GCF_001610895.1_ASM161089v1,NA,sugar beet rhizosphere,Soil
GCF_000954195.1_ASM95419v1,Homo sapiens,feces,Humans
GCF_001280345.1_ASM128034v1,Homo sapiens,patient blood,Humans
GCF_000021825.1_ASM2182v1,NA,NA,NA
GCF_001989535.1_ASM198953v1,NA,riverwater,Freshwater
GCF_000218585.1_ASM21858v1,NA,NA,NA
GCF_012275775.1_ASM1227577v1,Canis lupus familiaris,skin biopsy,Livestock
GCF_900698975.1_BuCisplendens_Palmer_v1.0,NA,host's whole body,NA
GCF_013127955.1_ASM1312795v1,NA,NA,NA
GCF_002367955.1_ASM236795v1,NA,NA,NA
GCF_002287545.1_ASM228754v1,Dicentrarchus labrax,NA,Animals
GCF_000294695.2_ASM29469v2,NA,NA,NA
GCF_006228425.1_ASM622842v1,Punica granatum,NA,Agriculture
GCF_004135795.1_ASM413579v1,Homo sapiens,sputum,Humans
GCF_003255835.1_ASM325583v1,Homo sapiens,Korean adult feces,Humans
GCF_004194555.1_ASM419455v1,Parthenium argentatum Gray (guayule shrubs),aerobic microbial decomposition of whole and defoliated guayule (retting),Plants
GCF_001469565.1_ASM146956v1,Homo sapiens,NA,Humans
GCF_000525655.1_ASM52565v1,NA,NA,NA
GCF_001938665.1_ASM193866v1,NA,Lake Untersee,Freshwater
GCF_000959725.1_ASM95972v1,NA,Plant,Plants
GCF_009759685.1_ASM975968v1,Homo sapiens,NA,Humans
GCF_004124215.2_ASM412421v2,NA,food,Food
GCF_000163915.2_ASM16391v2,Homo sapiens,biological product [ENVO:02000043],Humans
GCF_004798725.1_ASM479872v1,NA,sludge,Human-impacted
GCF_003433375.1_ASM343337v1,NA,Baechu-kimchi,Food
GCF_000316645.1_ASM31664v1,NA,moderate hot spring; Amparai District; Maha Oya; Sri Lanka; 1973,Terrestrial
GCF_003491365.1_ASM349136v1,Discus,spleen,Animals
GCF_008728415.1_ASM872841v1,Homo sapiens,urine,Humans
GCF_001677515.1_ASM167751v1,Homo sapiens,bagged lettuce,Food
GCF_009755785.1_ASM975578v1,Bos taurus coreanae,Rumen fluid,Livestock
GCF_006517755.1_ASM651775v1,Oecophylla smaragdina,NA,Animals
GCF_009184705.1_ASM918470v1,NA,apple juice from cider press,Food
GCF_007746075.1_ASM774607v1,NA,surface freshwater,Freshwater
GCF_000239235.1_ASM23923v1,Homo sapiens,abscess on lower extremity,Humans
GCF_000516315.1_gabuh7607_v01,Homo sapiens,urine,Humans
GCF_013267195.1_ASM1326719v1,soil,solar salt farm,Soil
GCF_013167375.1_ASM1316737v1,bovine,NA,Livestock
GCF_002097035.1_ASM209703v1,Homo sapiens,blood culture,Humans
GCF_000961375.1_ASM96137v1,Citrus sinensis,citrus infected tissue,Agriculture
GCF_003641185.1_ASM364118v1,NA,NA,NA
GCF_002007035.1_ASM200703v1,Bos taurus,Vaccine strain,Livestock
GCF_013282195.1_ASM1328219v1,NA,surface water,Freshwater
GCF_008118365.1_ASM811836v1,bovine,urine,Livestock
GCF_001298525.1_ASM129852v1,NA,soil,Soil
GCF_008620175.1_ASM862017v1,Homo sapiens,Venous blood isolated from host,Humans
GCF_000671295.1_ASM67129v1,NA,lettuce,Food
GCF_012272695.1_ASM1227269v1,NA,soil,Soil
GCF_001596135.1_ASM159613v1,Lichen,NA,Plants
GCF_008974665.2_ASM897466v2,NA,human stool,Humans
GCF_000828935.1_ASM82893v1,Homo sapiens,NA,Humans
GCF_003855375.1_ASM385537v1,Homo sapiens,rectum,Humans
GCF_005854025.1_ASM585402v1,Homo sapiens,blood,Humans
GCF_001677275.1_ASM167727v1,NA,Filtered Seawater; 0.2-1 micron fraction,Marine
GCF_001922225.1_ASM192222v1,Homo sapiens,Sputum,Humans
GCF_013285285.1_ASM1328528v1,swine,China,Livestock
GCF_000493735.1_ASM49373v1,NA,Siberian permafrost,Soil
GCF_003856675.1_ASM385667v1,Homo sapiens,feces,Humans
GCF_001610815.1_ASM161081v1,Citrus x paradisi,NA,Agriculture
GCF_001750685.1_ASM175068v1,NA,oil contaninated soil,Human-impacted
GCF_003571725.1_ASM357172v1,NA,Laboratory contaminant,Human-impacted
GCF_000328565.1_ASM32856v1,NA,NA,NA
GCF_009789555.1_ASM978955v1,NA,particulate matter,Soil
GCF_004771295.1_ASM477129v1,NA,carrot,Agriculture
GCF_002812345.2_ASM281234v2,Homo sapiens,tissue obtained from patient with prosthetic joint infection,Humans
GCF_000021685.1_ASM2168v1,NA,NA,NA
GCF_001736055.1_ASM173605v1,Homo sapiens,Throat swab,Humans
GCF_901827165.1_ASM90182716v1,NA,linuron-contaminated soil,Human-impacted
GCF_000441555.1_ASM44155v1,Diaphorina citri,NA,Animals
GCF_001990045.1_ASM199004v1,NA,Turbot,Animals
GCF_006337225.1_ASM633722v1,Homo sapiens,skin; prosthetic joint infection,Humans
GCF_009685175.1_ASM968517v1,NA,Lake sediment,Sediment
GCF_012647365.1_ASM1264736v1,NA,laboratory,Human-impacted
GCF_001989615.1_ASM198961v1,NA,saltern,Terrestrial
GCF_001411805.1_ASM141180v1,NA,NA,NA
GCF_002011925.2_ASM201192v2,NA,soil,Soil
GCF_002208785.2_ASM220878v2,NA,Colorado Serum Co.; Anthrax Spore Vaccine,Human-impacted
GCF_012530215.1_ASM1253021v1,Hawk,NA,Animals
GCF_001605015.1_ASM160501v1,NA,soil,Soil
GCF_000021245.2_ASM2124v2,NA,NA,NA
GCF_003999445.1_ASM399944v1,common bean,leaves of Phaseolus vulgaris,Agriculture
GCF_000281695.1_ASM28169v1,NA,NA,NA
GCF_002572555.1_ASM257255v1,Homo sapiens,prostatic tissue,Humans
GCF_900249725.1_CO2235,NA,NA,NA
GCF_001675095.1_ASM167509v1,Phaseolus vulgaris,legume-root nodule,Agriculture
GCF_000739495.1_ASM73949v1,Homo sapiens,clinical urine culture,Humans
GCF_012569045.1_ASM1256904v1,Donacia sparganii,Beetle Malpighian tubules,Animals
GCF_008244705.1_ASM824470v1,Homo sapiens,NA,Humans
GCF_900492195.1_T2.26MG-112.21_plasmid,NA,NA,NA
GCF_002852995.3_ASM285299v3,Homo sapiens,pus,Humans
GCF_012273555.1_ASM1227355v1,Homo sapiens,clinical isolate,Humans
GCF_000439415.1_ASM43941v1,NA,frozen raw shrimp,Food
GCF_000014445.1_ASM1444v1,NA,NA,NA
GCF_902705295.1_Combinated_assembly_ONT-Illumina,Gallus gallus,chicken trachea,Livestock
GCF_900039485.1_DEMHIR,NA,NA,NA
GCF_000960995.1_ASM96099v1,Oryza sativa,Oryza sativa; grain,Agriculture
GCF_003949995.1_ASM394999v1,NA,soil,Soil
GCF_000012145.1_ASM1214v1,NA,NA,NA
GCF_009720405.1_ASM972040v1,Homo sapiens,adult male sputum,Humans
GCF_013167395.1_ASM1316739v1,bovine,NA,Livestock
GCF_002968495.1_ASM296849v1,NA,NA,NA
GCF_012871055.1_ASM1287105v1,NA,NA,NA
GCF_005221545.1_ASM522154v1,NA,cattle,Livestock
GCF_001549825.1_XFAS006-SEQ-1-ASM-1,Coffea,leaf,Agriculture
GCF_000233775.1_ASM23377v1,NA,production water from an oil well,Human-impacted
GCF_002000745.1_ASM200074v1,Homo sapiens,Nose,Humans
GCF_000016285.1_ASM1628v1,Vitis vinifera cv. 'Izsaki Sarfeher',NA,Agriculture
GCF_011044415.1_ASM1104441v1,NA,NA,NA
GCF_002000845.1_ASM200084v1,Homo sapiens,Perineum,Humans
GCF_003718435.1_ASM371843v1,NA,NA,NA
GCF_009738455.1_ASM973845v1,NA,River,Freshwater
GCF_012932215.1_ASM1293221v1,NA,seawater,Marine
GCF_000197735.1_ASM19773v1,NA,NA,NA
GCF_900249735.1_CBM2589,NA,NA,NA
GCF_000245515.1_ASM24551v1,Homo sapiens,urine from child < 5 years old,Humans
GCF_009295905.1_ASM929590v1,NA,sourdough,Food
GCF_001922325.1_ASM192232v1,NA,broiler chick cecum,Livestock
GCF_012689545.1_ASM1268954v1,NA,NA,NA
GCF_008432245.1_ASM843224v1,oyster,intestinal tract,Animals
GCF_004571195.1_ASM457119v1,NA,Hot water tap; Geest Office Building,Human-impacted
GCF_000834985.1_ASM83498v1,NA,NA,NA
GCF_009025895.1_ASM902589v1,Homo sapiens,NA,Humans
GCF_002018235.1_ASM201823v1,NA,Isolated from the intestines of sick birds in the farm,Livestock
GCF_007954625.1_ASM795462v1,NA,kimchi,Food
GCF_006742065.1_ASM674206v1,NA,NA,NA
GCF_001766295.1_ASM176629v1,NA,industrial building air scrubber liquid,Human-impacted
GCF_008086465.1_ASM808646v1,Homo sapiens,NA,Humans
GCF_002310655.1_ASM231065v1,canine,NA,Livestock
GCF_002865995.1_ASM286599v1,NA,NA,NA
GCF_007814275.1_ASM781427v1,NA,Buffalo milk,Food
GCF_006165035.1_ASM616503v1,bovine,aborted bovine fetus,Livestock
GCF_002848565.1_ASM284856v1,Homo sapiens,NA,Humans
GCF_002759295.1_ASM275929v1,Phaseolus vulgaris,NA,Agriculture
GCF_009720145.1_ASM972014v1,NA,activated sludge of wastewater treatment plants,Human-impacted
GCF_009648755.1_ASM964875v1,Homo sapiens,NA,Humans
GCF_006968745.1_ASM696874v1,NA,iron water pipe,Human-impacted
GCF_000747315.1_ASM74731v1,Homo sapiens,blood culture,Humans
GCF_001729845.1_ASM172984v1,Homo sapiens,Right conjunctiva of a child with trachoma,Humans
GCF_013283935.1_ASM1328393v1,NA,blood sample,Humans
GCF_002803845.1_ASM280384v1,NA,NA,NA
GCF_008087155.1_ASM808715v1,Acinonyx jubatus,NA,Animals
GCF_000069205.1_ASM6920v1,NA,NA,NA
GCF_000582665.1_ASM58266v1,NA,traditional homemade dairy product,Food
GCF_001611385.1_ASM161138v1,Homo sapiens,88-year old man presenting knee prosthesis infection,Humans
GCF_002287605.1_ASM228760v1,Homo sapiens,NA,Humans
GCF_001902415.1_ASM190241v1,Homo sapiens,skin swab,Humans
GCF_003627335.1_ASM362733v1,Homo sapiens,healthy infant fecal samples,Humans
GCF_003432205.1_ASM343220v1,NA,NA,NA
GCF_002368355.1_ASM236835v1,NA,NA,NA
GCF_001956655.2_ASM195665v2,Homo sapiens,NA,Humans
GCF_001927405.2_ASM192740v2,Oryza sativa,NA,Agriculture
GCF_900660435.1_50465_D02-3,Homo sapiens,Oropharynx,Humans
GCF_003122425.1_ASM312242v1,Acyrthosiphon pisum,cell culture,Animals
GCF_002215195.1_ASM221519v1,Medicago arborea,NA,Plants
GCF_000834735.1_ASM83473v1,NA,NA,NA
GCF_008620055.1_ASM862005v1,Homo sapiens,Sputum isolated from host,Humans
GCF_011065325.1_ASM1106532v1,Canis lupus familiaris,host skin,Livestock
GCF_000010905.1_ASM1090v1,NA,NA,NA
GCF_000154765.2_ASM15476v2,NA,NA,NA
GCF_002892065.1_ASM289206v1,NA,algae aquaculture,Human-impacted
GCF_002849875.1_ASM284987v1,Trichodesmium erythraeum IMS101,water,Marine
GCF_002951655.1_ASM295165v1,pig,stool,Livestock
GCF_009951245.1_ASM995124v1,NA,Raw beef,Food
GCF_000312685.1_ASM31268v1,NA,NA,NA
GCF_009756965.1_ASM975696v1,NA,Watery Kimchi (cabbage),Food
GCF_013394305.1_ASM1339430v1,Brassica rapa var. laciniifolia subvar. Oblanceolata,leaf of Brassica rapa L. subsp. nipposinica (L.H. Bailey) Hanelt var. linearifolia,Agriculture
GCF_001735765.2_ASM173576v2,NA,Lake Mainaki silt,Sediment
GCF_003054475.1_ASM305447v1,NA,Gulf of Finland,Marine
GCF_007917035.3_ASM791703v3,Homo sapiens,feces,Humans
GCF_003813145.1_ASM381314v1,Homo sapiens,Urine,Humans
GCF_000146165.2_ASM14616v2,NA,NA,NA
GCF_012584495.1_ASM1258449v1,swine,NA,Livestock
GCF_000736435.1_ASM73643v1,NA,hydrocarbon contaminated soil,Human-impacted
GCF_000009805.1_ASM980v1,NA,NA,NA
GCF_003359315.2_ASM335931v2,Homo sapiens,NA,Humans
GCF_001188815.1_ASM118881v1,NA,NA,NA
GCF_000832505.1_ASM83250v1,pig,NA,Livestock
GCF_000969985.1_ASM96998v1,NA,NA,NA
GCF_003666425.1_ASM366642v1,Euonymus sp.,NA,Plants
GCF_008728695.1_ASM872869v1,Homo sapiens,urine,Humans
GCF_001746795.1_ASM174679v1,Salmo salar,Liver,Animals
GCF_000438685.2_ASM43868v2,NA,environment,NA
GCF_001908695.1_ASM190869v1,Homo sapiens,anal swab,Humans
GCF_000961015.1_ASM96101v1,NA,home-made cheese,Food
GCF_001787335.1_ASM178733v1,NA,palm brown sugar,Food
GCF_001629755.1_ASM162975v1,Homo sapiens,NA,Humans
GCF_003515545.1_ASM351554v1,Solanum tuberosum,Potato bacterial wilt,Agriculture
GCF_001511835.1_XM-1,NA,NA,NA
GCF_001530015.1_ASM153001v1,Homo sapiens,blood,Humans
GCF_002852945.2_ASM285294v2,Homo sapiens,NA,Humans
GCF_001664205.1_ASM166420v1,Phaseolus vulgaris,legume-root nodule,Agriculture
GCF_013458335.1_ASM1345833v1,Chaeturichthys stigmatias,NA,Animals
GCF_002933345.1_ASM293334v1,Edessa sp.,NA,Animals
GCF_012569925.1_ASM1256992v1,Donacia cincticornis,Beetle Malpighian tubules,Animals
GCF_002250885.2_ASM225088v2,NA,Mashed potatoes,Food
GCF_009912875.1_ASM991287v1,Homo sapiens,NA,Humans
GCF_002381385.1_ASM238138v1,NA,Pacific plankton,Marine
GCF_001278035.1_ASM127803v1,NA,activated sludge,Human-impacted
GCF_001890405.1_ASM189040v1,NA,soil,Soil
GCF_000632475.2_ASM63247v2,Triticum aestivum L.,wheat rhizosphere,Soil
GCF_003293615.1_ASM329361v1,NA,Solanacea rhizosphere,Soil
GCF_000724365.2_BKTSp77_1.0,Anas strepera,liver,Animals
GCF_000512165.1_ASM51216v1,Homo sapiens,blood,Humans
GCF_900699015.1_ErCipiceae_v1.0,Cinara piceae,host's whole body,Animals
GCF_012934715.1_ASM1293471v1,Homo sapiens,rectal swab from healthy college student,Humans
GCF_003967115.1_ASM396711v1,Homo sapiens,NA,Humans
GCF_001766275.1_ASM176627v1,NA,clinical,Humans
GCF_002953295.1_ASM295329v1,Homo sapiens,Urine,Humans
GCF_002197445.1_ASM219744v1,Medicago sativa,NA,Agriculture
GCF_003186415.1_ASM318641v1,Homo sapiens,wound,Humans
GCF_009913095.1_ASM991309v1,Homo sapiens,NA,Humans
GCF_001675075.1_ASM167507v1,Phaseolus vulgaris,legume-root nodule,Agriculture
GCF_005145045.1_ASM514504v1,NA,NA,NA
GCF_010523255.1_ASM1052325v1,NA,soil,Soil
GCF_900698885.1_ErCisplendens_pseudotsugae_v1.0,Cinara cf. splendens/pseudotsugae 3390,host's whole body,Animals
GCF_001700985.1_ASM170098v1,NA,NA,NA
GCF_001900535.1_ASM190053v1,cow,NA,Livestock
GCF_000143085.1_ASM14308v1,NA,NA,NA
GCF_900698845.1_BuCisplendens_pseudotsugae_v1.0,NA,host's whole body,NA
GCF_001028705.1_ASM102870v1,NA,sterile tools,Human-impacted
GCF_001027185.1_ASM102718v1,NA,soil,Soil
GCF_002079245.1_ASM207924v1,Homo sapiens,stool,Humans
GCF_013341035.1_ASM1334103v1,NA,NA,NA
GCF_000789355.1_ASM78935v1,NA,marine sediments,Sediment
GCF_003264255.1_ASM326425v1,NA,NA,NA
GCF_002368175.1_ASM236817v1,NA,NA,NA
GCF_013487785.1_ASM1348778v1,Aphis craccivora (cowpea aphid),aphid on Robinia pseudoacacia (locust),Animals
GCF_001414055.1_ASM141405v1,NA,pond water,Freshwater
GCF_003611275.1_ASM361127v1,calanoid copepod,water,Animals
GCF_001579645.1_ASM157964v1,Pan troglodytes,oral cavity,Animals
GCF_000331025.1_ASM33102v1,NA,NA,NA
GCF_000018765.1_ASM1876v1,NA,NA,NA
GCF_001693315.1_ASM169331v1,Homo sapiens,Urine,Humans
GCF_004354265.1_ASM435426v1,NA,soil,Soil
GCF_000834965.1_ASM83496v1,Homo sapiens,Water,Humans
GCF_000017265.1_ASM1726v1,NA,NA,NA
GCF_001543995.1_ASM154399v1,Homo sapiens,sputum,Humans
GCF_000292455.1_ASM29245v1,NA,NA,NA
GCF_007632055.1_ASM763205v1,Homo sapiens,swab from oropharyngeal of the woman with tonsillitis,Humans
GCF_000318945.1_ASM31894v1,NA,NA,NA
GCF_000418515.1_ASM41851v1,NA,NA,NA
GCF_002357395.1_ASM235739v1,Homo sapiens,Human stomach,Humans
GCF_002197225.1_ASM219722v1,NA,NA,NA
GCF_003485445.1_ASM348544v1,Allium cepa L.,rotten onion bulb,Agriculture
GCF_013167435.1_ASM1316743v1,cattle,cattle feces,Livestock
GCF_002754835.1_ASM275483v1,NA,NA,NA
GCF_001742225.1_ASM174222v1,NA,soil,Soil
GCF_001457535.1_CIP70.10,NA,human skin tissue,Humans
GCF_001277295.1_ASM127729v1,NA,Anderson Lake,Freshwater
GCF_003967075.1_ASM396707v1,NA,NA,NA
GCF_003176875.1_ASM317687v1,NA,dental water pipeline,Human-impacted
GCF_009709315.1_ASM970931v1,Salmo salar,NA,Animals
GCF_013358205.1_ASM1335820v1,mouse,NA,Animals
GCF_001953235.1_ASM195323v1,Homo sapiens,blood,Humans
GCF_000020345.1_ASM2034v1,NA,NA,NA
GCF_000259275.1_ASM25927v1,Lagenorhynchus acutus,stomach of wild stranded animal,Animals
GCF_001999245.1_ASM199924v1,Rhodosorus marinus,NA,Marine
GCF_000807405.4_ASM80740v4,Homo sapiens,Bodily fluid,Humans
GCF_003667905.1_ASM366790v1,NA,NA,NA
GCF_002850015.1_ASM285001v1,NA,olive fermentation,Food
GCF_001580175.1_ASM158017v1,Homo sapiens,NA,Humans
GCF_001664525.1_ASM166452v1,Phaseolus vulgaris,legume-root nodule,Agriculture
GCF_000292705.1_ASM29270v1,NA,NA,NA
GCF_008693405.1_ASM869340v1,Homo sapiens,clinical isolate,Humans
GCF_009709435.1_ASM970943v1,Oncorhynchus mykiss,NA,Animals
GCF_013402855.1_ASM1340285v1,Homo sapiens,urinary tract,Humans
GCF_002288565.1_ASM228856v1,Gossypium hirsutum,NA,Agriculture
GCF_009497015.2_ASM949701v2,NA,soil,Soil
GCF_001885255.2_ASM188525v2,Homo sapiens,nose,Humans
GCF_001664085.1_ASM166408v1,Phaseolus vulgaris,legume-root nodule,Agriculture
GCF_002166795.1_ASM216679v1,Homo sapiens,NA,Humans
GCF_003330905.1_ASM333090v1,NA,NA,NA
GCF_000210815.2_ASM21081v2,NA,NA,NA
GCF_000834795.1_ASM83479v1,Homo sapiens,Fatal septicemia (human clinical isolate),Humans
GCF_003030185.1_ASM303018v1,NA,NA,NA
GCF_009769125.1_ASM976912v1,Homo sapiens,blood,Humans
GCF_000829055.1_ASM82905v1,NA,NA,NA
GCF_006968915.1_ASM696891v1,Eucalyptus grandis,leaves,Plants
GCF_000196235.1_ASM19623v1,NA,NA,NA
GCF_002863665.1_ASM286366v1,NA,cattle,Livestock
GCF_000783435.2_ASM78343v2,Homo sapiens,endotracheal aspirate,Humans
GCF_004847505.1_ASM484750v1,NA,frozen yellowfin tuna nakaochi scrape,Food
GCF_002412045.1_ASM241204v1,NA,fish larvae aquaculture,Human-impacted
GCF_013347265.1_ASM1334726v1,NA,soil,Soil
GCF_009017495.1_ASM901749v1,NA,NA,NA
GCF_003344865.1_ASM334486v1,NA,sea water [ENVO:00002149],Marine
GCF_001444695.2_ASM144469v2,NA,isolate obtained from Campbell's Soup,Food
GCF_010499245.1_ASM1049924v1,Salix sp.,soil,Soil
GCF_009931715.1_ASM993171v1,Canine,Canine feces,Livestock
GCF_900660575.1_51342_D01-3,rat,lung,Animals
GCF_002157245.1_ASM215724v1,Homo sapiens,urine,Humans
GCF_013315995.1_ASM1331599v1,Homo sapiens,rectal swab from healthy college student,Humans
GCF_000789315.1_ASM78931v1,Homo sapiens,Human clinical,Humans
GCF_000017105.1_ASM1710v1,NA,NA,NA
GCF_001887995.2_ASM188799v2,Homo sapiens,sputum,Humans
GCF_003942025.1_ASM394202v1,Atlantic salmon,diseased Atlantic salmon,Animals
GCF_003726935.1_ASM372693v1,Pyropia yezoensis conchocelis,seawater,Marine
GCF_002943545.1_ASM294354v1,NA,brine of stinky tofu,Food
GCF_009433135.1_ASM943313v1,NA,cattle,Livestock
GCF_004141835.1_ASM414183v1,NA,food,Food
GCF_003671975.1_ASM367197v1,NA,soil,Soil
GCF_004564095.1_ASM456409v1,NA,NA,NA
GCF_000583875.1_ASM58387v1,Polytelis,spleen tissue from parrot (Polytelis),Animals
GCF_002356655.1_ASM235665v1,NA,NA,NA
GCF_000025425.1_ASM2542v1,sheep,aborted placenta,Livestock
GCF_006094435.1_ASM609443v1,NA,soil,Soil
GCF_000961315.1_ASM96131v1,citrus spp.,citrus infected tissue,Agriculture
GCF_001191625.1_ASM119162v1,NA,water,Freshwater
GCF_003597695.1_ASM359769v1,Homo sapiens,Rectal swab,Humans
GCF_900749825.1_MTUNDRAET4_v1,NA,NA,NA
GCF_004001225.1_ASM400122v1,Apis mellifera,NA,Animals
GCF_003717755.1_ASM371775v1,NA,NA,NA
GCF_002000805.1_ASM200080v1,Homo sapiens,Pus,Humans
GCF_000939415.2_HGAP_assembly_of_Acinetobacter_baumannii_ORAB01,Homo sapiens,bodily fluid,Humans
GCF_003343305.1_ASM334330v1,cow,milk,Livestock
GCF_001865615.1_ASM186561v1,NA,Chicken cecum,Livestock
GCF_900234355.1_JOUY64_assembly_v1,NA,French dry-type pork sausage,Food
GCF_000325725.1_ASM32572v1,Homo sapiens,NA,Humans
GCF_002003305.1_ASM200330v1,NA,NA,NA
GCF_002078765.2_ASM207876v2,NA,Dairy fermentation,Food
GCF_002104555.1_ASM210455v1,Homo sapiens,liver abscess,Humans
GCF_010726765.1_ASM1072676v1,NA,NA,NA
GCF_000410515.1_ASM41051v1,NA,NA,NA
GCF_001989815.1_ASM198981v1,NA,Atlantic salmon,Animals
GCF_002082215.1_ASM208221v1,Zea mays,Strain was received from Susanne von Bodman laboratory in University of Connecticut,Agriculture
GCF_000154745.2_ASM15474v2,NA,NA,NA
GCF_002290185.1_ASM229018v1,Drosophila melanogaster Oregon-R modENCODE,NA,Animals
GCF_003717875.1_ASM371787v1,NA,NA,NA
GCF_013394265.1_ASM1339426v1,duck,feces,Livestock
GCF_000981785.2_ASM98178v2,NA,NA,NA
GCF_000309885.1_ASM30988v1,NA,not provided; submitted under MIGS 2.1,NA
GCF_001571545.2_ASM157154v2,Homo sapiens,NA,Humans
GCF_001617525.2_ASM161752v2,NA,Sichuan pickle vegetables,Food
GCF_000828125.2_ASM82812v2,Ctenocephalides felis,cat fleas,Animals
GCF_002999155.1_ASM299915v1,Homo sapiens,Tooth root canal,Humans
GCF_000517425.1_ASM51742v1,NA,NA,NA
GCF_003855415.1_ASM385541v1,Homo sapiens,rectum,Humans
GCF_002224545.1_ASM222454v1,wild cotton,NA,Plants
GCF_012220405.1_ASM1222040v1,NA,sewage from Environmental Centre Robert O. Picard,Human-impacted
GCF_007833555.1_ASM783355v1,Homo sapiens,urine,Humans
GCF_002078975.2_ASM207897v2,NA,Dairy fermentation,Food
GCF_002836715.1_ASM283671v1,NA,feces,Humans
